ID_Num Approach_pre Approach_rate_pre Avoid_pre Avoid_rate_pre AmbigApproach_pre AmbigApproach_rate_pre AmbigAvoid_pre AmbigAvoid_rate_pre Approach_post Approach_rate_post Avoid_post Avoid_rate_post AmbigApproach_post AmbigApproach_rate_post AmbigAvoid_post AmbigAvoid_rate_post
2246 16 2.059157890221139 16 2.0794974547817597 6 1.4416723399142983 8 1.86003255056964 16 2.462169787124909 16 2.8555281239775114 11 1.9105514546244078 2 2.13143872113676
2248 16 2.1112357326647735 16 2.6074911046527456 8 1.4150526222693935 5 2.1143139051377755 16 1.8494615369796028 16 2.6982208606200473 10 1.6134670718261817 5 2.2104332449160102
2252 16 2.5405562759679206 16 2.576005581345425 10 2.1465369204350306 5 2.94840294840294 NA NA NA NA NA NA NA NA
2256 15 1.9797624285085786 16 2.3791231939728927 11 1.1570624638417963 1 1.8055973517905617 16 2.2764458988404432 16 2.688623760712492 3 1.4966325767024184 12 2.4819883484435867
2260 16 2.894356005788715 16 3.342502002019434 14 2.2775337563038933 2 3.1128404669261025 NA NA NA NA NA NA NA NA
2261 16 2.0708846560390093 16 2.479466914613365 15 2.1949613442918756 1 1.359311282283646 16 2.0128740066676487 16 2.4459221891003624 13 1.7741788736238728 2 1.9841269841269873
2264 16 2.6034604328252997 16 2.371365758466519 16 2.3532295624463773 0 NA NA NA NA NA NA NA NA NA
2265 14 1.6339869281045745 15 2.167369054786278 1 1.5507883173946755 11 1.777346905800612 12 1.9005886545416162 16 2.6497377863648937 12 1.7908220370600698 0 NA
2270 11 1.380089078476885 16 2.0907289239279647 2 1.2594458438287142 14 1.8854795627483165 15 2.1690405610584897 15 1.9740305316722258 5 1.711351968054765 11 1.7665480046037345
2271 15 2.460226340823362 16 2.506265664160407 8 2.0763939957607 7 1.329155985948922 8 2.090501284787256 8 2.0295983086680787 5 1.3731862498283498 2 1.5073483230749904
2273 14 1.8530774321641297 16 1.9995417716773236 14 1.5832924944396265 2 1.9193857965451027 15 2.1405127717262067 16 1.999291917445905 13 1.8223447502453156 3 2.576212966938604
2279 16 2.4641289560820425 15 2.74264817918635 14 2.0338983050847506 2 1.9841269841269875 16 2.6989794483960825 16 2.3064725385613367 16 2.4131516766376815 0 NA
2283 16 2.62768927574314 16 2.6128136737248897 11 1.6744044447827062 1 1.7421602787456447 8 3.281153872445148 8 2.0847810979847203 7 2.1237864077669966 1 2.0242914979757085
2284 16 2.221193891716798 16 2.7673681176131475 12 2.3248304811107547 4 2.3145915710290423 16 2.462106639993854 16 2.617087399814622 10 2.137208805300279 6 2.2773279352226665
2285 13 1.5540944411237323 16 2.0603953383555504 15 1.6673768456935372 0 NA 16 2.337814143775578 16 2.3098577993792317 16 1.825303266532305 0 NA
2287 15 2.3137436372049964 16 2.425283581335425 15 2.089184985723905 1 1.8154311649016588 16 1.711626580134435 14 1.9143990154519348 11 1.5806111696522647 3 1.3861081164330828
2292 16 2.5726230035373656 16 3.3064682785699695 16 2.573381584238053 0 NA 16 2.592702622410682 16 2.908121535245822 16 2.3736524577193183 0 NA
2293 15 2.096533730898254 16 2.881671369394257 0 NA 14 2.068506981211065 16 2.166113856359573 16 2.627545434639808 0 NA 14 2.060439560439561
2295 16 1.7815718660109496 16 2.3718344657195822 12 1.5248422211868362 3 1.5417558886509664 16 2.1612859651492684 16 2.253732744858675 16 1.8427164711979602 0 NA
2296 16 2.3361074609432113 16 2.789724514704176 13 2.3022432113341225 2 2.648421981902438 16 2.886176417533522 16 2.999250187453145 14 2.912520370306166 2 2.7887520334650246
2298 15 2.383600826314955 14 2.256426787009434 16 1.8724765452807728 0 NA 16 2.649737786364887 16 2.2181658541093827 16 1.9979604154092718 0 NA
2299 6 1.7350233746204646 8 2.6152337365152065 0 NA 8 2.168805349719866 16 1.9218834457768643 15 1.7097589239917206 14 1.6938215841264714 2 1.7673048600883732
2303 8 2.468500899974289 8 2.347532645375852 4 2.4024024024024024 3 2.5330706445257456 NA NA NA NA NA NA NA NA
2306 14 1.937090674292043 15 2.8924026224450565 7 1.738986419344153 8 1.913722988597402 16 3.3227190917901357 16 2.792564796230035 12 2.345735322864411 4 2.0565552699228826
2307 16 2.1513087128002892 15 1.9892140394306403 15 1.4188422247446097 0 NA 16 2.012452047041071 16 2.1278953784772265 16 1.7708909795240728 0 NA
2308 15 2.0861341616058655 16 1.9691499835904223 14 1.753507014028059 1 1.7559262510974694 14 1.7211351295973776 16 1.9246962588716476 15 1.8240038912083005 0 NA
2309 15 3.1394983779258445 16 3.753372170309267 16 2.7236360541322697 0 NA NA NA NA NA NA NA NA NA
2310 16 3.1072989156821604 16 3.08275264121256 14 2.4757582009490444 2 2.2573363431151283 16 3.2398501569302485 16 3.072196620583735 13 2.1981118782584197 3 3.0827196437746034
2317 16 1.8762826150688907 16 1.9224992490237258 4 1.3428075868628657 8 1.4835878098534934 16 1.7258426966292135 16 2.075226977950709 10 1.4215988248116362 5 1.6832183134152499
2320 8 2.7430138865077973 8 2.9184653736243673 8 2.3619722468261033 0 NA 16 2.9798857710454456 16 3.0871145126539568 12 1.979163803293107 3 2.071346375143839
2322 16 2.4728883851523773 16 2.641281021295332 16 2.388356760791146 0 NA NA NA NA NA NA NA NA NA
2325 16 2.0225003160156696 16 1.898583972786963 15 1.957032269287638 0 NA 15 1.8309429356118456 16 1.9249278152069313 15 1.753873136509794 0 NA
2326 15 2.3390596980014027 16 1.9091180272447077 3 1.7521658717025212 10 1.5428130624839314 16 2.770722696836761 16 2.527047303166713 8 2.3311155359137565 7 1.5094339622641548
2327 16 2.7946784664201973 16 2.8652439934338227 16 2.3858637572383627 0 NA 16 2.985724504711849 16 3.092086191902604 16 2.5123655491874124 0 NA
2333 16 2.3871096081161767 16 2.492405950619205 11 1.6422812779934317 4 2.02122283981809 NA NA NA NA NA NA NA NA
2340 16 1.8819101387908692 16 2.0249746878164063 0 NA 15 1.7631156212044057 NA NA NA NA NA NA NA NA
2342 16 2.2648453535282083 16 2.249613347705871 15 1.992958214309443 0 NA NA NA NA NA NA NA NA NA
2345 16 1.9452099205705942 16 2.5671194780190425 11 1.5956289437419944 3 1.8181818181818146 NA NA NA NA NA NA NA NA
2346 14 2.63083716997088 16 2.7071994585601202 12 1.7543004726865186 4 1.7464706738466005 NA NA NA NA NA NA NA NA
2349 10 1.6652789342214838 15 2.04382877256728 9 1.4032534691544092 0 NA 15 1.8933815795009903 16 2.293249247527594 6 1.228333560802513 8 2.2193452931385313
2350 15 2.323120208564574 16 2.279094060111111 14 2.3345654651065795 0 NA NA NA NA NA NA NA NA NA
2351 16 2.7407428555114626 16 3.2105949633791595 16 2.1752430154306333 0 NA 16 2.706665162963805 16 3.11486048020766 16 2.5556383771696347 0 NA
